2021-10-06 11:30:48 status half-installed librest-0.7-0:amd64 0.8.1-1
2021-10-06 11:30:48 status unpacked librest-0.7-0:amd64 0.8.1-1
2021-10-06 11:30:48 install libgtk-3-common:all <none> 3.24.20-0ubuntu1
2021-10-06 11:30:48 status half-installed libgtk-3-common:all 3.24.20-0ubuntu1
2021-10-06 11:30:48 status unpacked libgtk-3-common:all 3.24.20-0ubuntu1
2021-10-06 11:30:49 install libgtk-3-0:amd64 <none> 3.24.20-0ubuntu1
2021-10-06 11:30:49 status half-installed libgtk-3-0:amd64 3.24.20-0ubuntu1
2021-10-06 11:30:49 status unpacked libgtk-3-0:amd64 3.24.20-0ubuntu1
2021-10-06 11:30:49 install libgtk-3-bin:amd64 <none> 3.24.20-0ubuntu1
2021-10-06 11:30:49 status half-installed libgtk-3-bin:amd64 3.24.20-0ubuntu1
2021-10-06 11:30:49 status unpacked libgtk-3-bin:amd64 3.24.20-0ubuntu1
2021-10-06 11:30:49 install libgtk2.0-bin:amd64 <none> 2.24.32-4ubuntu4
2021-10-06 11:30:49 status half-installed libgtk2.0-bin:amd64 2.24.32-4ubuntu4
2021-10-06 11:30:49 status unpacked libgtk2.0-bin:amd64 2.24.32-4ubuntu4
2021-10-06 11:30:49 install libobt2v5:amd64 <none> 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:49 status half-installed libobt2v5:amd64 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:49 status unpacked libobt2v5:amd64 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:49 install libxft2:amd64 <none> 2.3.3-0ubuntu1
2021-10-06 11:30:49 status half-installed libxft2:amd64 2.3.3-0ubuntu1
2021-10-06 11:30:49 status unpacked libxft2:amd64 2.3.3-0ubuntu1
2021-10-06 11:30:50 install libpangoxft-1.0-0:amd64 <none> 1.44.7-2ubuntu4
2021-10-06 11:30:50 status half-installed libpangoxft-1.0-0:amd64 1.44.7-2ubuntu4
2021-10-06 11:30:50 status unpacked libpangoxft-1.0-0:amd64 1.44.7-2ubuntu4
2021-10-06 11:30:50 install libobrender32v5:amd64 <none> 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:50 status half-installed libobrender32v5:amd64 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:50 status unpacked libobrender32v5:amd64 3.6.1-9ubuntu0.20.04.1
2021-10-06 11:30:50 install libxcb-util1:amd64 <none> 0.4.0-0ubuntu3
